"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 10:44:02 UTC 2023","Fri Dec 01 10:44:03 UTC 2023","435","tests","test_geolocation_page","","","","test_present_geolocation[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:13 UTC 2023","Fri Dec 01 10:44:14 UTC 2023","586","tests","test_js_alerts_page","","","","test_js_prompt_alert_dont_present[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:21 UTC 2023","Fri Dec 01 10:44:22 UTC 2023","620","tests","test_shifting_content_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:16 UTC 2023","Fri Dec 01 10:44:17 UTC 2023","492","tests","test_js_onload_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:12 UTC 2023","Fri Dec 01 10:44:13 UTC 2023","616","tests","test_js_alerts_page","","","","test_js_prompt_alert_present[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:57 UTC 2023","Fri Dec 01 10:43:58 UTC 2023","319","tests","test_conext_menu_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:18 UTC 2023","Fri Dec 01 10:44:18 UTC 2023","451","tests","test_notification_message_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:12 UTC 2023","Fri Dec 01 10:44:13 UTC 2023","540","tests","test_js_alerts_page","","","","test_js_confirm_alert_dont_present[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:05 UTC 2023","Fri Dec 01 10:44:06 UTC 2023","680","tests","test_file_uploader_page","","","","test_upload_file[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:21 UTC 2023","Fri Dec 01 10:44:22 UTC 2023","710","tests","test_shifting_content_page","","","","test_example_2_100_pixel_shift[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:20 UTC 2023","Fri Dec 01 10:44:21 UTC 2023","476","tests","test_secure_download_page","","","","test_fail_login[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:54 UTC 2023","Fri Dec 01 10:43:54 UTC 2023","308","tests","test_drag_and_drop_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:16 UTC 2023","Fri Dec 01 10:44:17 UTC 2023","1125","tests","test_horizontal_slider_page","","","","test_slider[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:06 UTC 2023","Fri Dec 01 10:44:06 UTC 2023","447","tests","test_geolocation_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:51 UTC 2023","Fri Dec 01 10:43:56 UTC 2023","5090","tests","test_add_remove","","","","test_remove_element[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:14 UTC 2023","Fri Dec 01 10:44:15 UTC 2023","1450","tests","test_entry_ad_page","","","","test_show_popup[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:04 UTC 2023","Fri Dec 01 10:44:04 UTC 2023","315","tests","test_file_uploader_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:52 UTC 2023","Fri Dec 01 10:43:53 UTC 2023","417","tests","test_challenging_dom_page","","","","test_present_challenging_dom_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:56 UTC 2023","Fri Dec 01 10:43:56 UTC 2023","302","tests","test_dynamic_loading_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:13 UTC 2023","Fri Dec 01 10:44:14 UTC 2023","585","tests","test_js_alerts_page","","","","test_js_alert_present[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:16 UTC 2023","Fri Dec 01 10:44:17 UTC 2023","528","tests","test_key_presses_page","","","","test_go_to_page[Browser: Chrome]",""
"skipped","Fri Dec 01 10:44:10 UTC 2023","Fri Dec 01 10:44:11 UTC 2023","896","tests","test_jquery_page","","","","test_download_pdf[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:15 UTC 2023","Fri Dec 01 10:44:15 UTC 2023","539","tests","test_js_alerts_page","","","","test_js_confirm_alert_cancel_result[Browser: Chrome]",""
"skipped","Fri Dec 01 10:44:03 UTC 2023","Fri Dec 01 10:44:03 UTC 2023","351","tests","test_file_downloader_page","","","","test_file_download[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:06 UTC 2023","Fri Dec 01 10:44:12 UTC 2023","5964","tests","test_dynamic_loading_page","","","","test_second_example_final_text_present[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:51 UTC 2023","Fri Dec 01 10:43:51 UTC 2023","776","tests","test_add_remove","","","","test_go_add_remove_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:06 UTC 2023","Fri Dec 01 10:44:07 UTC 2023","920","tests","test_hover_page","","","","test_open_profile[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:18 UTC 2023","Fri Dec 01 10:44:19 UTC 2023","962","tests","test_notification_message_page","","","","test_success_notification[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:00 UTC 2023","Fri Dec 01 10:44:01 UTC 2023","302","tests","test_disappearing_elements_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:17 UTC 2023","Fri Dec 01 10:44:18 UTC 2023","479","tests","test_multiple_window_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:11 UTC 2023","Fri Dec 01 10:44:11 UTC 2023","457","tests","test_js_alerts_page","","","","test_js_confirm_alert_present[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:21 UTC 2023","Fri Dec 01 10:44:22 UTC 2023","467","tests","test_shadowdom_page","","","","test_correct_text_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:00 UTC 2023","Fri Dec 01 10:44:01 UTC 2023","840","tests","test_form_authentication_page","","","","test_logout[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:52 UTC 2023","Fri Dec 01 10:43:53 UTC 2023","321","tests","test_basic_auth_page","","","","test_success_basic_auth_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:10 UTC 2023","Fri Dec 01 10:44:10 UTC 2023","388","tests","test_inputs_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:00 UTC 2023","Fri Dec 01 10:44:00 UTC 2023","633","tests","test_dynamic_content_page","","","","test_dont_changed_content[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:13 UTC 2023","Fri Dec 01 10:44:15 UTC 2023","1902","tests","test_horizontal_slider_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:03 UTC 2023","Fri Dec 01 10:44:04 UTC 2023","372","tests","test_hover_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:53 UTC 2023","Fri Dec 01 10:43:54 UTC 2023","402","tests","test_checkboxes_page","","","","test_press_checkbox[Browser: Chrome]",""
"skipped","Fri Dec 01 10:43:56 UTC 2023","Fri Dec 01 10:43:57 UTC 2023","322","tests","test_broken_image_page","","","","test_go_to_broken_image[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:17 UTC 2023","Fri Dec 01 10:44:18 UTC 2023","781","tests","test_key_presses_page","","","","test_result_entered_text[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:19 UTC 2023","Fri Dec 01 10:44:19 UTC 2023","741","tests","test_notification_message_page","","","","test_present_notification[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:17 UTC 2023","Fri Dec 01 10:44:18 UTC 2023","459","tests","test_key_presses_page","","","","test_dont_present_result[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:12 UTC 2023","Fri Dec 01 10:44:13 UTC 2023","490","tests","test_entry_ad_page","","","","test_go_to_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:13 UTC 2023","Fri Dec 01 10:44:14 UTC 2023","631","tests","test_js_alerts_page","","","","test_js_confirm_alert_result[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:51 UTC 2023","Fri Dec 01 10:43:52 UTC 2023","897","tests","test_add_remove","","","","test_add_element[Browser: Chrome]",""
"passed","Fri Dec 01 10:43:51 UTC 2023","Fri Dec 01 10:43:52 UTC 2023","1012","tests","test_ab_testing","","","","test_ab_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:17 UTC 2023","Fri Dec 01 10:44:18 UTC 2023","725","tests","test_multiple_window_page","","","","test_go_to_new_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:11 UTC 2023","Fri Dec 01 10:44:11 UTC 2023","511","tests","test_js_alerts_page","","","","test_js_alert_dont_present[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:08 UTC 2023","Fri Dec 01 10:44:09 UTC 2023","1427","tests","test_infinity_scroll_page","","","","test_scroll_page[Browser: Chrome]",""
"passed","Fri Dec 01 10:44:08 UTC 2023","Fri Dec 01 10:44:09 UTC 2023","470","tests","test_jquery_page","","","","test_go_to_page[Browser: Chrome]",""
"skipped","Fri Dec 01 10:44:25 UTC 2023","Fri Dec 01 10:44:26 UTC 2023","288","tests","test_secure_download_page","","","","test_download[Browser: Chrome]",""
